Réf.,Libellé,Produit,Description,Quantité,Id de ligne,Produit,Nomenclature BOM,Description,Quantité,Poste de travail par défaut,Unité
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,274,5372,,,0.18000000,0,32
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,411,5554,,,1.00000000,,
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,413,5553,,,1.00000000,,
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,459,7890,65,,1.00000000,,28
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,165,1789,,,4.00000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,166,1790,,,4.00000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,167,2003,,,5.00000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,168,5150,,,0.90000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,169,5316,,,2.00000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,170,5485,,,23.00000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,171,5631,,,10.00000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,275,6999,,,1.00000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,276,7002,,,1.00000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,277,5150,,,1.08000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,279,6667,,,1.00000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,280,5372,,,0.16600000,,32
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,414,5554,,,1.00000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,415,5553,,,1.00000000,,
BOM2310-0040,Kit Quincaillerie pour Banquette 120 Surf,5677,,1.00000000,460,7888,66,,1.00000000,,28
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,173,1789,,,4.00000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,174,1790,,,4.00000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,175,2003,,,5.00000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,177,5316,,,2.00000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,178,5485,,,23.00000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,179,5631,,,10.00000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,281,5150,,,1.30000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,282,5150,,,1.05000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,283,6667,,,1.00000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,284,6999,,,1.00000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,285,7002,,,1.00000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,286,5372,,,0.18000000,0,32
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,416,5554,,,1.00000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,417,5553,,,1.00000000,,
BOM2310-0041,Kit Quincaillerie pour Banquette 140 Surf,5676,,1.00000000,461,7889,67,,1.00000000,,28
BOM2310-0042,Kit Quincaillerie pour Meuble Latéral Gauche L2 - Standard,5656,,1.00000000,181,4972,,,80.00000000,,
BOM2310-0042,Kit Quincaillerie pour Meuble Latéral Gauche L2 - Standard,5656,,1.00000000,182,5132,,,1.00000000,,
BOM2310-0042,Kit Quincaillerie pour Meuble Latéral Gauche L2 - Standard,5656,,1.00000000,183,5182,,,1.00000000,,
BOM2310-0042,Kit Quincaillerie pour Meuble Latéral Gauche L2 - Standard,5656,,1.00000000,184,5222,,,1.00000000,,
BOM2310-0042,Kit Quincaillerie pour Meuble Latéral Gauche L2 - Standard,5656,,1.00000000,185,5640,,,1.00000000,,
BOM2310-0042,Kit Quincaillerie pour Meuble Latéral Gauche L2 - Standard,5656,,1.00000000,186,5648,,,1.00000000,,
BOM2310-0042,Kit Quincaillerie pour Meuble Latéral Gauche L2 - Standard,5656,,1.00000000,187,5649,,,1.00000000,,
BOM2310-0042,Kit Quincaillerie pour Meuble Latéral Gauche L2 - Standard,5656,,1.00000000,188,5650,,,1.00000000,,
BOM2310-0042,Kit Quincaillerie pour Meuble Latéral Gauche L2 - Standard,5656,,1.00000000,189,5657,,,1.00000000,,
BOM2310-0042,Kit Quincaillerie pour Meuble Latéral Gauche L2 - Standard,5656,,1.00000000,595,5372,,,0.07500000,,32
BOM2310-0044,Kit-Qu-1Colonne_Haute_UAV_L1-GEN,5659,,1.00000000,192,1646,,,2.30000000,,
BOM2310-0044,Kit-Qu-1Colonne_Haute_UAV_L1-GEN,5659,,1.00000000,193,1926,,,1.00000000,,
BOM2310-0044,Kit-Qu-1Colonne_Haute_UAV_L1-GEN,5659,,1.00000000,194,2004,,,1.00000000,,28
BOM2310-0044,Kit-Qu-1Colonne_Haute_UAV_L1-GEN,5659,,1.00000000,195,5658,,,1.00000000,,
BOM2310-0044,Kit-Qu-1Colonne_Haute_UAV_L1-GEN,5659,,1.00000000,196,4972,,,17.00000000,,
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,287,1639,,,3.00000000,,
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,288,1649,,,3.00000000,,
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,289,1789,,,5.00000000,,
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,290,1790,,,5.00000000,,
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,291,2003,,,4.00000000,,28
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,292,5315,,,6.00000000,,28
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,293,5631,,,24.00000000,,2
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,294,5150,,,1.31000000,,
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,295,5150,,,1.11000000,,
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,296,5372,,,0.14000000,,32
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,418,5553,,,1.00000000,,
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,419,6207,,,1.00000000,,
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,856,7002,,,1.00000000,0,
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,857,6999,,,1.00000000,0,
BOM2501-0048,Kit Quincaillerie pour Banquette en L,7879,,1.00000000,2447,5485,,,7.00000000,0,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,324,1639,,,3.00000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,325,1649,,,3.00000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,326,1789,,,10.00000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,327,1790,,,10.00000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,328,1998,,,2.00000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,329,2003,,,2.00000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,330,5150,,,0.59000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,331,5150,,,0.49000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,332,5315,,,22.00000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,333,5323,,,9.00000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,334,5631,,,8.00000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,335,5372,,,0.19000000,,32
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,420,5553,,,1.00000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,421,6207,,,1.00000000,,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,858,7002,,,1.00000000,0,
BOM2501-0049,Kit Quincaillerie Banquette UAV et UAVXL,5652,,1.00000000,859,6999,,,1.00000000,0,
